Name,League,Defense,Midfield,Attack,Overall,Logo URL,Team_Rating
Liverpool,Premier League,80,83,86,85,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/9.png,5.0
Manchester City,Premier League,83,86,85,85,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/10.png,5.0
Real Madrid,LaLiga Santander,84,86,84,85,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/243.png,5.0
FC Bayern München,Bundesliga,82,85,92,84,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/21.png,5.0
Paris Saint-Germain,Ligue 1 Uber Eats,82,82,87,84,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/73.png,5.0
Juventus,Serie A TIM,83,81,87,83,https://fifastatic.fifaindex.com/FIFA19/images/crest/5/light/45.png,5.0
Atlético de Madrid,LaLiga Santander,83,82,85,83,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/240.png,5.0
FC Barcelona,LaLiga Santander,81,82,84,83,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/241.png,5.0
Tottenham Hotspur,Premier League,81,82,89,82,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/18.png,4.5
Manchester United,Premier League,82,82,83,82,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/11.png,4.5
Inter,Serie A TIM,83,81,83,82,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/44.png,4.5
Chelsea,Premier League,82,84,82,82,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/5.png,4.5
Borussia Dortmund,Bundesliga,81,81,87,81,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/22.png,4.5
Sevilla FC,LaLiga Santander,82,81,80,81,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/481.png,4.5
Arsenal,Premier League,79,79,83,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/1.png,4.5
Napoli,Serie A TIM,80,80,82,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/48.png,4.5
Lazio,Serie A TIM,79,80,82,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/46.png,4.5
Villarreal CF,LaLiga Santander,79,79,82,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/483.png,4.5
Leicester City,Premier League,79,81,80,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/95.png,4.5
RB Leipzig,Bundesliga,80,81,78,80,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/112172.png,4.5
Milan,Serie A TIM,80,78,84,79,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/47.png,4.5
Atalanta,Serie A TIM,78,79,82,79,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/39.png,4.5
Real Sociedad,LaLiga Santander,77,81,81,79,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/457.png,4.5
Everton,Premier League,80,79,81,79,https://fifastatic.fifaindex.com/FIFA21/images/crest/5/light/7.png,4.5
